Security Code,Security Id,Security Name
500002,ABB,ABB India Limited
500003,AEGISLOG,AEGIS LOGISTICS LTD.
500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.
500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.
500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.
500012,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.
500013,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
500014,UTIQUE,Utique Enterprises Ltd
500016,ARUNAHTEL,ARUNA HOTELS LTD.
500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.
500023,ASIANHOTNR,Asian Hotels (North) Limited
500027,ATUL,ATUL LTD.
500028,ATVPR,ATV PROJECTS INDIA LTD.
500029,AUTOLITIND,AUTOLITE (INDIA) LTD.
500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$
500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited
500033,FORCEMOT,FORCE MOTORS LTD.-$
500034,BAJFINANCE,Bajaj Finance Limited
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.
500039,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$
500040,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.
500041,BANARISUG,BANNARI AMMAN SUGARS LTD.
500042,BASF,BASF INDIA LTD.
500043,BATAINDIA,BATA INDIA LTD.
500048,BEML,BEML LTD.
500049,BEL,BHARAT ELECTRONICS LTD.
500052,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$
500055,TATASTLBSL,Tata Steel Bsl Ltd
500060,BIRLACABLE,Birla Cable Ltd
500067,BLUESTARCO,BLUE STAR LTD.
500068,DISAQ,DISA INDIA LTD.
500069,BNKCAP,BNK CAPITAL MARKETS LTD.
500074,BPL,BPL LTD.
500078,OAL,Oriental Aromatics Ltd-$
500083,CENTEXT,CENTURY EXTRUSIONS LTD.
500084,CESC,CESC LTD.
500085,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.
500086,EXIDEIND,EXIDE INDUSTRIES LTD.
500087,CIPLA,CIPLA LTD.
500089,DICIND,DIC INDIA LTD.
500092,CRISIL,CRISIL LTD.
500093,CGPOWER,CG Power and Industrial Solutions Ltd
500096,DABUR,DABUR INDIA LTD.
500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd
500101,ARVIND,ARVIND LTD.
500102,BALLARPUR,BALLARPUR INDUSTRIES LTD.
500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.
500104,HINDPETRO*,HINDUSTAN PETROLEUM CORPORATION LTD.
500106,IFCI,IFCI LTD.
500108,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.
500109,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.
500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.
500111,RELCAPITAL,RELIANCE CAPITAL LTD.
500112,SBIN,STATE BANK OF INDIA
500113,SAIL,STEEL AUTHORITY OF INDIA LTD.
500114,TITAN,Titan Company Limited
500116,IDBI,IDBI BANK LTD.
500117,DCW,DCW LTD.
500119,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.
500120,DIAMINESQ,DIAMINES & CHEMICALS LTD.-$
500123,ELANTAS,ELANTAS BECK INDIA LTD.-$
500124,DRREDDY,DR.REDDY&#39;S LABORATORIES LTD.
500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.
500126,PGHL,Procter & Gamble Health Ltd
500128,ELECTCAST,ELECTROSTEEL CASTINGS LTD.
500133,ESABINDIA,ESAB INDIA LTD.
500135,EPL,EPL Ltd
500136,ESTER,ESTER INDUSTRIES LTD.
500143,PHCAP,PH CAPITAL LTD.
500144,FINCABLES,FINOLEX CABLES LTD.
500147,COCKERILL,John Cockerill India Ltd-$
500148,UFLEX,UFLEX LTD.
500150,FOSECOIND,FOSECO INDIA LTD.
500151,GOLDENTOBC,GOLDEN TOBACCO LTD.
500153,GANESHBE,GANESH BENZOPLAST LTD.
500159,METROGLOBL,Metroglobal Limited
500160,GTL,GTL LTD.
500163,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.
500164,GODREJIND,GODREJ INDUSTRIES LTD.
500165,KANSAINER,KANSAI NEROLAC PAINTS LTD.
500166,GOODRICKE,GOODRICKE GROUP LTD.
500168,GOODYEAR,GOODYEAR INDIA LTD.
500170,GTNINDS,GTN INDUSTRIES LTD.
500171,GHCL,GHCL LTD.
500173,GFLLIMITED,GFL Ltd
500174,GLFL,GUJARAT LEASE FINANCING LTD.
500179,HCL-INSYS,HCL INFOSYSTEMS LTD.
500180,HDFCBANK,HDFC Bank Ltd
500182,HEROMOTOCO,HERO MOTOCORP LTD.
500183,HFCL,HFCL Ltd
500184,HSCL,Himadri Speciality Chemical Ltd
500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.
500186,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.
500187,HSIL,HSIL LTD.
500188,HINDZINC,HINDUSTAN ZINC LTD.
500189,NXTDIGITAL,Nxtdigital Ltd
500191,HMT,HMT LTD.
500192,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.
500193,HLVLTD,HLV Ltd
500199,IGPL,I G PETROCHEMICALS LTD.
500201,INDIAGLYCO,INDIA GLYCOLS LTD.
500202,INDLEASE,INDIA LEASE DEVELOPMENT LTD.
500206,MARGOFIN,Margo Finance Limited
500207,INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.
500209,INFY,INFOSYS LTD.
500210,INGERRAND,INGERSOLL-RAND (INDIA) LTD.
500211,INSILCO,INSILCO LTD.
500212,IFSL,INTEGRATED FINANCIAL SERVICES LTD.
500213,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$
500214,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$
500215,ATFL,AGRO TECH FOODS LTD.
500219,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.
500220,JASCH,JASCH INDUSTRIES LTD.
500223,JCTLTD,JCT LTD.
500227,JINDALPOLY,JINDAL POLY FILMS LTD.
500228,JSWSTEEL,JSW STEEL LTD.
500231,UMANGDAIR,UMANG DAIRIES LTD.
500233,KAJARIACER,KAJARIA CERAMICS LTD.
500234,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.
